Price,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_200,Volatility_30,RSI_14,BB_MID,BB_UPPER,BB_LOWER,ATR_14,Signal,Position,Return,Strategy_Return
2024-10-16,230.5271095,231.0446896,228.775253,230.7062683,34082200.0,227.24141541,223.59380676800004,198.110703202,0.0141815659559729,57.51939635439433,227.02193375,232.62937714824105,221.4144903517589,4.400949314285713,1,0.0,,
2024-10-17,232.3486389,232.7667067,229.4521309,231.0745697,32993800.0,227.88641358,224.043166814,198.3456685645,0.0141472697978072,58.005550894088415,227.185174565,233.07229697930725,221.29805215069277,4.479867792857141,1,1.0,0.0015964082931680945,0.0015964082931680945
2024-10-18,235.0858881,235.0858881,232.9259424,233.9113617,46431500.0,228.70261231,224.479866338,198.601709519,0.0141838244164499,61.646368821015336,227.52359925,234.1342075858283,220.91299091417173,4.395970357142856,1,1.0,0.012276521833116227,0.012276521833116227
2024-10-21,233.3639114,235.7528025,233.3639114,235.3845062,36254500.0,230.17475891,224.887767338,198.876717911,0.0141992912441349,63.419961039548255,228.02178040000004,235.41999400132588,220.6235667986742,3.908240871428571,1,1.0,0.00629787492703926,0.00629787492703926
2024-10-22,232.8065348,235.1257432,231.5225173,234.7674103,38846600.0,231.1790863,225.252669682,199.1522602085,0.014185910326482,62.123980274225175,228.44431458000005,236.3783855904424,220.51024356955764,3.874822985714285,1,1.0,-0.002621650464434855,-0.002621650464434855
2024-10-23,232.9956371,234.0507242,226.7049069,229.6910095,52287000.0,231.30052032000003,225.441590274,199.380704346,0.0147299612612274,52.601341109122814,228.66279755,236.47448499100287,220.85111010899703,4.202585871428569,1,1.0,-0.02162310685930835,-0.02162310685930835
2024-10-24,228.9146137,229.750734,227.3518946,229.5018921,31109500.0,231.45281219,225.617770388,199.6102853395,0.0147343994988569,52.279832570678906,228.81459122,236.56428193292697,221.06490050707305,4.098783842857139,1,1.0,-0.0008233556916820151,-0.0008233556916820151
2024-10-25,228.6757507,232.1396256,228.50654,230.3380127,38802300.0,231.83702545,225.75095093,199.83884101900003,0.0147330577858804,53.62929715461002,228.99475403,236.7083105443411,221.28119751565885,3.969385157142853,1,1.0,0.003643196979115526,0.003643196979115526
2024-10-28,232.2391553,233.642612,231.4727181,232.3187714,36087100.0,232.04605103,225.89726929,200.0802753455,0.0137091761575927,56.74960164622024,229.01466065,236.7619915332979,221.2673297667021,3.900419764285711,1,1.0,0.008599356557702942,0.008599356557702942
2024-10-29,232.0201728,233.2444706,231.2437874,232.5875244,35417200.0,232.02813263,226.05214844,200.321417237,0.0137115914034091,57.17071647929741,229.38593216500004,237.06730581846315,221.70455851153693,3.693525228571425,1,1.0,0.0011568286039929099,0.0011568286039929099
