Date,MSFT_Bollinger
2020-01-30,
2020-01-31,0.01475844396356163
2020-02-03,0.0
2020-02-04,-0.03291660001466257
2020-02-05,0.0012213929989379757
2020-02-06,-0.020733612494468368
2020-02-07,-0.0014159925924632777
2020-02-10,0.0
2020-02-11,0.022575639404533
2020-02-12,0.0
2020-02-13,-0.0
2020-02-14,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,-0.0
2020-02-21,-0.0
2020-02-24,-0.0
2020-02-25,-0.0
2020-02-26,0.0
2020-02-27,-0.0
2020-02-28,0.024212946014113834
2020-03-02,0.0
2020-03-03,-0.0
2020-03-04,0.0
2020-03-05,-0.0
2020-03-06,-0.0
2020-03-09,-0.0
2020-03-10,0.06838388958861774
2020-03-11,-0.0
2020-03-12,-0.0
2020-03-13,0.142168913918729
2020-03-16,-0.0
2020-03-17,0.08233690073175803
2020-03-18,-0.0
2020-03-19,0.0
2020-03-20,-0.0
2020-03-23,-0.0
2020-03-24,0.0
2020-03-25,-0.0
2020-03-26,0.0
2020-03-27,-0.0
2020-03-30,0.0
2020-03-31,-0.0
2020-04-01,-0.0
2020-04-02,0.0
2020-04-03,-0.0
2020-04-06,0.0
2020-04-07,-0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,-0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-20,-0.0
2020-04-21,-0.0
2020-04-22,0.0
2020-04-23,-0.0
2020-04-24,0.0
2020-04-27,-0.0
2020-04-28,-0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,-0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,-0.0
2020-05-13,-0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,-0.0
2020-05-20,0.0
2020-05-21,-0.0
2020-05-22,0.0
2020-05-26,-0.0
2020-05-27,0.0
2020-05-28,-0.0
2020-05-29,0.0
2020-06-01,-0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,-0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,-0.007644941633087932
2020-06-10,-0.03709143545192428
2020-06-11,0.0536983144909593
2020-06-12,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,-0.0
2020-06-22,0.0
2020-06-23,-0.0066809343429723445
2020-06-24,-0.0
2020-06-25,0.0
2020-06-26,-0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-06,0.0
2020-07-07,0.011627845350716814
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,-0.0
2020-07-13,-0.0
2020-07-14,0.0
2020-07-15,-0.0
2020-07-16,-0.0
2020-07-17,-0.0
2020-07-20,0.0
2020-07-21,-0.0
2020-07-22,0.0
2020-07-23,-0.0
2020-07-24,-0.0
2020-07-27,0.0
2020-07-28,-0.0
2020-07-29,0.0
2020-07-30,-0.0
2020-07-31,0.0
2020-08-03,0.0
2020-08-04,-0.0
2020-08-05,-0.0
2020-08-06,0.0
2020-08-07,-0.0
2020-08-10,-0.0
2020-08-11,-0.0
2020-08-12,0.0
2020-08-13,-0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,-0.0
2020-08-20,0.0
2020-08-21,-0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,-0.02455339217007535
2020-08-28,-0.010283444583441215
2020-08-31,0.014765694912011518
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,-0.0
2020-09-04,-0.0
2020-09-08,-0.0
2020-09-09,0.0
2020-09-10,-0.0
2020-09-11,-0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,-0.0
2020-09-17,-0.0
2020-09-18,-0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,-0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,-0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,-0.0
2020-10-05,0.0
2020-10-06,-0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,-0.025902480934451688
2020-10-13,-0.0065944798832566764
2020-10-14,0.00897430203086469
2020-10-15,-0.0
2020-10-16,0.0
2020-10-19,-0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,-0.0
2020-10-27,0.0
2020-10-28,-0.0
2020-10-29,0.01006531213020434
2020-10-30,-0.0
2020-11-02,-0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,-0.0
2020-11-10,-0.0
2020-11-11,0.0
2020-11-12,-0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,-0.0
